trial,model,rmse,mae,r2,hidden_size,num_layers,sequence_length,batch_size,learning_rate,epochs
12,LSTM_AA,1519.3870849609375,1175.2625732421875,0.1720784902572631,178,1,7,128,0.0099564827044909,151
13,LSTM_AA,617.7018432617188,503.5816650390625,0.8631609678268433,106,1,7,64,0.0009683065151353,68
14,LSTM_AA,1034.1033935546875,811.5761108398438,0.6135645508766174,92,2,21,64,0.0009887087819271,51
15,LSTM_AA,1381.3179931640625,1046.4188232421875,0.3157109022140503,173,2,7,64,0.0003529336577103,47
16,LSTM_AA,1359.689208984375,1112.610595703125,0.3351526260375976,101,1,14,64,0.0090280373965845,78
17,LSTM_AA,601.910888671875,474.8394165039063,0.870067834854126,276,1,7,128,0.0013627353603533,23
18,LSTM_AA,817.3807983398438,660.353515625,0.7603921294212341,288,1,7,64,0.0012423600811371,18
19,LSTM_AA,1108.9041748046875,811.5945434570312,0.5589982271194458,255,2,7,128,0.0003185756649696,42
20,LSTM_AA,1041.6339111328125,779.9515991210938,0.610880970954895,254,2,7,128,0.0014247732519016,30
21,LSTM_AA,1271.115966796875,984.7977905273438,0.4189506769180298,159,1,14,128,0.0059937814330012,119
22,LSTM_AA,1164.6448974609375,888.8547973632812,0.513548731803894,62,1,7,128,0.0020621224130214,61
23,LSTM_AA,825.8248291015625,667.19189453125,0.755811333656311,197,1,4,128,0.0006157856067551,86
24,LSTM_AA,1076.47607421875,848.7394409179688,0.581247091293335,107,1,21,64,0.0056843066188755,34
25,LSTM_AA,2157.169189453125,1773.3865966796875,-0.6734434366226196,178,1,14,128,0.0216064286452853,105
26,LSTM_AA,994.7542114257812,831.4857177734375,0.6451181173324585,222,1,7,128,0.0015745871554179,63
27,LSTM_AA,1432.0302734375,1117.8489990234375,0.2645440101623535,81,2,7,64,0.0007631729452398,175
28,LSTM_AA,1033.47607421875,777.834716796875,0.6159007549285889,243,1,14,32,0.0002660824101952,26
29,LSTM_AA,1770.989013671875,1387.3118896484375,-0.1230040788650512,290,1,4,32,0.0046013292312504,113
30,LSTM_AA,1160.9635009765625,881.0452880859375,0.5129357576370239,71,1,21,128,0.0020151422550283,134
31,LSTM_AA,727.8129272460938,558.8596801757812,0.8100270628929138,116,1,7,256,0.0028913291301611,157
32,LSTM_AA,653.143310546875,512.1808471679688,0.8470078110694885,130,1,7,256,0.0021770881375836,135
33,LSTM_AA,604.7258911132812,484.6991271972656,0.8688496947288513,159,1,7,256,0.0011880312632303,129
34,LSTM_AA,709.823974609375,503.8086242675781,0.8172917366027832,151,1,28,256,0.0006205326645646,129
35,LSTM_AA,1366.4822998046875,1082.4747314453125,0.3303307890892029,161,3,7,256,0.0002036900640558,94
36,LSTM_AA,790.67041015625,555.1758422851562,0.773301899433136,191,1,28,64,0.00010005077982,116
37,LSTM_AA,755.6129150390625,608.5427856445312,0.7955682277679443,142,1,4,256,0.0011289336480548,191
38,LSTM_AA,680.2698974609375,535.431884765625,0.8340356945991516,161,2,7,32,0.0004387173063726,77
